School Name,Address,Mobile,link
amity-international-school,"Mayur Vihar, Phase 1, (Near Samachar Apartments) Delhi - 110 091, Delhi, India","(011)-22717261, 22717250",https://targetstudy.com/school/2062/amity-international-school/
amity-international-school,"Sector 7, Pushp Vihar Delhi - 110017, Delhi, India","(011)-29561561, 29561693",https://targetstudy.com/school/30184/amity-international-school/
amity-international-school,"M Block, Saket Delhi - 110017, Delhi, India","(011)-29561606, 29562583",https://targetstudy.com/school/36904/amity-international-school/
amrita-public-school,"K-2, 474, Sangam Vihar New Delhi - 100062, Delhi, India","(011)-26047373, 26048357",https://targetstudy.com/school/29121/amrita-public-school/
amrita-vidyalayam,"23/42a, Sector 7, Pushp Vihar New Delhi - 110017, Delhi, India","(011)-29561744, 26867363",https://targetstudy.com/school/30268/amrita-vidyalayam/
anand-patrachar-school,"Opp. Madhuban Park, Near Nirman Vihar Metro Station, Gate No. 2, Acharya Nagaraj Marg, Near Jain Mandir, Vikas Marg, Shakarpur New Delhi - 110092, Delhi, India",_i,https://targetstudy.com/school/91953/anand-patrachar-school/
anand-patrachar-school-hauz-khas,"61/C, Kalu Sarai, Sarvapriya Vihar, Near Hauz Khas, Metro Gate No. 2 New Delhi - 110016, Delhi, India",_i,https://targetstudy.com/school/91956/anand-patrachar-school-hauz-khas/
anand-patrachar-school-raja-garden,"E-4, Bali Nagar, Opposite Metro Pillar No. 369, Above Prem Studio, Near Ramesh Nagar Metro Station, Raja Garden New Delhi - 110015, Delhi, India",_i,https://targetstudy.com/school/91955/anand-patrachar-school-raja-garden/
anand-patrachar-school-shakarpur,"Opp. Madhuban Park, Near Nirman Vihar Metro Station, Gate No. 2, Acharya Nagaraj Marg, Near Jain Mandir, Vikas Marg, Shakarpur New Delhi - 110092, Delhi, India",_i,https://targetstudy.com/school/91954/anand-patrachar-school-shakarpur/
angels-public-senior-secondary-school,"Vasundhra Enclave, Mayur Vihar, Phase-III Delhi - 110096, Delhi, India","(011)-43065315, 22380781",https://targetstudy.com/school/29695/angels-public-senior-secondary-school/
angels-public-senior-secondary-school,"Vishwas Nagar, Shahdara Delhi - 110032, Delhi, India","(011)-22380781, 22302137",https://targetstudy.com/school/37974/angels-public-senior-secondary-school/
anglo-arabic-senior-secondary-school,"Near New Delhi Railway Station, Ajmeri Gate New Delhi - 110006, Delhi, India",(011)-23212734,https://targetstudy.com/school/58367/anglo-arabic-senior-secondary-school/
anglo-sanskrit-victoria-jubilee-senior-secondary-school,"Darya Ganj New Delhi - 110002, Delhi, India","(011)-23271636, 23270166",https://targetstudy.com/school/36623/anglo-sanskrit-victoria-jubilee-senior-secondary-school/
anthony-sr-secondary-school,"C/6, Safdarjung Development Area, Hauz Khas New Delhi - 110016, Delhi, India","(011)-26514779, 26528164",https://targetstudy.com/school/51387/anthony-sr-secondary-school/
apeejay-school,"Plot No. 10, Road No. 42, Sainik Vihar, Pitampura Delhi - 110034, Delhi, India","(011)-27022140, 27012615",https://targetstudy.com/school/2039/apeejay-school/
apeejay-school,"J-Block, Gurudwara Road, Saket New Delhi - 110017, Delhi, India",(011)-29555208,https://targetstudy.com/school/14548/apeejay-school/
apeejay-school,"Sheikh Sarai- Phase I, Panchsheel Park New Delhi - 110017, Delhi, India","(011)-26012218, 26013134",https://targetstudy.com/school/14549/apeejay-school/
aravali-convent-school,"E-7/1, Ratiya Marg, Sangam Vihar New Delhi - 110062, Delhi, India",_i,https://targetstudy.com/school/60807/aravali-convent-school/
army-public-school,"Ridge Road, Dhaula Kuan New Delhi - 110010, Delhi, India",(011)-25693131,https://targetstudy.com/school/1571/army-public-school/
arsd-senior-secondary-school,"Gali Kunde Wala Chandni Chowk New Delhi - 110006, Delhi, India",(011)-23237556,https://targetstudy.com/school/69140/arsd-senior-secondary-school/
arwachin-bharati-bhawan-senior-secondary-school,"C-Block, Vivek Vihar Delhi - 110095, Delhi, India","(011)-43072200, 22141630, 22151630",https://targetstudy.com/school/2058/arwachin-bharati-bhawan-senior-secondary-school/
arwachin-bharti-bhawan-sr-sec-school,"Balbir Nagar, Shahdara Delhi - 110032, Delhi, India",(011)-22326506,https://targetstudy.com/school/36902/arwachin-bharti-bhawan-sr-sec-school/
arya-girls-senior-secondary-school,"Ragarpura, Arya Samaj Road, Karol Bagh New Delhi - 110005, Delhi, India",(011)-25818412,https://targetstudy.com/school/69066/arya-girls-senior-secondary-school/
arya-public-school,"Raja Bazar, BKS Marg, Connaught Place New Delhi - 110001, Delhi, India",(011)-23348114,https://targetstudy.com/school/71779/arya-public-school/
arya-public-school,"Vishal Colony, Nangloi New Delhi - 110041, Delhi, India",(011)-25472096,https://targetstudy.com/school/51401/arya-public-school/
arya-samaj-girls-senior-secondary-school,"#41, Chawri Bazar Delhi - 110006, Delhi, India","(011)-23268046, 23951773",https://targetstudy.com/school/2265/arya-samaj-girls-senior-secondary-school/
asn-sr-secondary-school,"Mayur Vihar I New Delhi - 110091, Delhi, India","(011)-22713040, 22715837, 22715885",https://targetstudy.com/school/52466/asn-sr-secondary-school/
asvj-senior-secondary-school,"Daryaganj, Indraprastha New Delhi - 110002, Delhi, India","(011)-23271636, 23270166",https://targetstudy.com/school/2356/asvj-senior-secondary-school/
avb-public-school,"National Highway Road No. 24, I.P. Extension, Patparganj, Near Engineers Apartments New Delhi - 110092, Delhi, India","(011)-22723000, 22731000",https://targetstudy.com/school/36699/avb-public-school/
baijnath-arya-girls-senior-secondary-school,"Anaj Mandi Road, Shahdara Delhi - 110032, Delhi, India",(011)-22384341,https://targetstudy.com/school/51991/baijnath-arya-girls-senior-secondary-school/
bal-bharati-public-school,"Sector 12, Dwarka New Delhi - 110078, Delhi, India","(011)-28031955, 28031970, 42427855",https://targetstudy.com/school/2074/bal-bharati-public-school/
bal-bharati-public-school,"Parwana Road, Pitampura Delhi - 110034, Delhi, India","(011)-27028600, 27028700",https://targetstudy.com/school/1573/bal-bharati-public-school/
bal-bharati-public-school,"Sector 4, Rohini Delhi - 110085, Delhi, India","(011)-27554561, 27554562, 27554563",https://targetstudy.com/school/35840/bal-bharati-public-school/
bal-bharti-public-school,"Pusa Road, Karol Bagh New Delhi - 110005, Delhi, India","(011)-25741157, 25760566",https://targetstudy.com/school/69155/bal-bharti-public-school/
bal-bhavan-international-school,"Sector 12, Dwarka New Delhi - 110078, Delhi, India",(011)-49997999,https://targetstudy.com/school/50955/bal-bhavan-international-school/
bal-bhavan-public-school,"Pocket-B, Mayur Vihar, Phase II Delhi - 110091, Delhi, India","(011)-22774591, 22776194",https://targetstudy.com/school/29145/bal-bhavan-public-school/
balmandir,"Defence Enclave, Vikas Marg New Delhi - 110092, Delhi, India",(011)-22548371,https://targetstudy.com/school/11782/balmandir/
bal-niketan-public-school,"A-59, Sangam Vihar New Delhi - 110062, Delhi, India","(011)-26047575, 26043855, 26045790",https://targetstudy.com/school/29154/bal-niketan-public-school/
bal-vikas-public-school,"Block A-3, Paschim Vihar New Delhi - 110063, Delhi, India","(011)-25253344, 25263344",https://targetstudy.com/school/2028/bal-vikas-public-school/
balwant-rai-mehta-vidya-bhavan,"Anguridevi Shersingh Memorial Academy, GK II New Delhi - 110048, Delhi, India","(011)-29221798, 29228815, 29229922",https://targetstudy.com/school/29151/balwant-rai-mehta-vidya-bhavan/
balwant-rai-mehta-vidya-bhawan,"Lajpat Bhawan, Lajpat Nagar New Delhi - 110024, Delhi, India",(011)-26438426,https://targetstudy.com/school/61508/balwant-rai-mehta-vidya-bhawan/
banasthali-public-school,"G-Block, Plot No. 16, Vikaspuri New Delhi - 110018, Delhi, India","(011)-28543824, 28542212",https://targetstudy.com/school/51519/banasthali-public-school/
bapu-adarsh-vidyalaya-sec-school,"R-Block, New Rajinder Nagar New Delhi - 110060, Delhi, India","(011)-25720859, 28745471",https://targetstudy.com/school/51786/bapu-adarsh-vidyalaya-sec-school/
basava-international-school,"Site-1, Sector 23, Dwarka New Delhi - 110077, Delhi, India",(011)-28051462,https://targetstudy.com/school/29775/basava-international-school/
bd-arya-girls-senior-secondary-school,"Gali Arya Samaj, Sita Ram Bazar New Delhi - 110006, Delhi, India",(011)-23231602,https://targetstudy.com/school/71860/bd-arya-girls-senior-secondary-school/
bengali-boys-sr-sec-school,"22-A, Sham Nath Marg, Indraprastha College, Civil Lines New Delhi - 110054, Delhi, India",(011)-23967864,https://targetstudy.com/school/50061/bengali-boys-sr-sec-school/
beni-prasad-jaipuria-girls-senior-secondary-school,"No. 25, Rajpur Road, Civil Lines New Delhi - 110054, Delhi, India",(011)-23972812,https://targetstudy.com/school/50033/beni-prasad-jaipuria-girls-senior-secondary-school/
bgs-international-public-school,"Sector 5, Dwarka New Delhi - 110085, Delhi, India","(011)-25086373, 25086436",https://targetstudy.com/school/2049/bgs-international-public-school/
bhai-joga-singh-khalsa-girls-senior-secondary-school,"East Patel Nagar Delhi - 110008, Delhi, India",(011)-25883297,https://targetstudy.com/school/61511/bhai-joga-singh-khalsa-girls-senior-secondary-school/
bhai-parmanand-vidya-mandir,"Surya Niketan, Anand Vihar New Delhi - 110092, Delhi, India","(011)-22375373, 22377289, 41254346, 41254347",https://targetstudy.com/school/29155/bhai-parmanand-vidya-mandir/
bharti-public-school,"Mayur Vihar III New Delhi - 110096, Delhi, India","(011)-22624256, 43594793, 43594794",https://targetstudy.com/school/37660/bharti-public-school/
bharti-public-school,"Near Nirman Vihar, Metro Station, Vikas Marg, Swasthya Vihar New Delhi - 110092, Delhi, India","(011)-22512878, 22502878",https://targetstudy.com/school/19168/bharti-public-school/
bhatnagar-international-school,"BX Vasant Kunj New Delhi - 110070, Delhi, India","(011)-26891277, 26893497",https://targetstudy.com/school/29157/bhatnagar-international-school/
bhavans-mehta-vidyalaya,"Kusturba Gandhi Marg New Delhi - 110001, Delhi, India","(011)-23389943, 23384881",https://targetstudy.com/school/54921/bhavans-mehta-vidyalaya/
bhavans-sawan-public-school,"Bhatti Mines Road New Delhi - 110074, Delhi, India",(011)-26652985,https://targetstudy.com/school/29514/bhavans-sawan-public-school/
bidhan-chandra-vidyalaya-senior-secondary-school,"Moti Bagh, Chanakyapuri New Delhi - 110021, Delhi, India",(011)-26472291,https://targetstudy.com/school/2242/bidhan-chandra-vidyalaya-senior-secondary-school/
birlaarya-girls-sr-sec-school,"Shakti Nagar New Delhi - 110007, Delhi, India",(011)-24611922,https://targetstudy.com/school/34074/birlaarya-girls-sr-sec-school/
birla-vidya-niketan,"Pushp Vihar, Sector 4 New Delhi - 110017, Delhi, India","(011)-29578960, 29578961",https://targetstudy.com/school/27980/birla-vidya-niketan/
bloom-public-school,"C-8, Vasant Kunj New Delhi - 110070, Delhi, India",_i,https://targetstudy.com/school/2032/bloom-public-school/
bluebells-school-international,"Kailash, Opp. Lady Shriram College New Delhi - 110048, Delhi, India","(011)-29232963, 29235679",https://targetstudy.com/school/25971/bluebells-school-international/
bn-rastogi-girls-senior-secondary-school,"Bhagirath Palace Delhi - 110006, Delhi, India","(011)-22966497, 26847503",https://targetstudy.com/school/71607/bn-rastogi-girls-senior-secondary-school/
bosco-senior-secondary-public-school,"Sunder Vihar, Near Tele","Exchange, Paschim Vihar   Delhi - 110087, Delhi, India",https://targetstudy.com/school/2025/bosco-senior-secondary-public-school/
br-tyagi-senior-secondary-school,"V-6, Budh Vihar, Phase II New Delhi - 110086, Delhi, India",(011)-27535746,https://targetstudy.com/school/36672/br-tyagi-senior-secondary-school/
brahampuri-public-senior-secondary-school,"Gali No. 15, Brahmapuri, Shahdara Delhi - 110053, Delhi, India",_i,https://targetstudy.com/school/37587/brahampuri-public-senior-secondary-school/
brain-international-school,"H-Block, Vikas Puri Delhi - 110018, Delhi, India","(011)-28544335, 47313313",https://targetstudy.com/school/29824/brain-international-school/
brilliant-convent-school,"West Enclave, Pitampura New Delhi - 110034, Delhi, India","(011)-27028625, 27032325",https://targetstudy.com/school/36344/brilliant-convent-school/
brilliants-convent-senior-secondary-school,"West Enclave, Pitampura Delhi - 110034, Delhi, India","(011)-27032325, 27028625",https://targetstudy.com/school/92596/brilliants-convent-senior-secondary-school/
bsm-public-school,"Anandpur Dham, Sultanpur Road Delhi - 110081, Delhi, India",_i,https://targetstudy.com/school/76507/bsm-public-school/
butler-memorial-girls-sen-sec-school,"No. 17, Boulevard Road, Civil Lines Delhi - 110054, Delhi, India","(011)-22513085, 26415914, 23968530",https://targetstudy.com/school/36751/butler-memorial-girls-sen-sec-school/
bvm-public-school,"Ajay Park, Naya Bazar, Najafgarh Extension New Delhi - 110043, Delhi, India",_i,https://targetstudy.com/school/29706/bvm-public-school/
cambridge-foundation-school,"Rajouri Garden, Extension New Delhi - 110027, Delhi, India","(011)-41001113, 41001113, 41001114",https://targetstudy.com/school/29109/cambridge-foundation-school/
cambridge-school,"Swami Pranavananda Marg, Ring Road New Delhi - 110065, Delhi, India","(011)-26831076, 26331643, 26910485",https://targetstudy.com/school/31022/cambridge-school/
career-public-school,"#473, Jheel Khuranja, Gandhi Nagar New Delhi - 110031, Delhi, India",(011)-22421321,https://targetstudy.com/school/2293/career-public-school/
central-academy,"Opposite Metro Line, Sector 10, Dwarka New Delhi - 110075, Delhi, India",(011)-40072828,https://targetstudy.com/school/92602/central-academy/
ch-malook-singh-government-sarvodaya-bal-vidya,"Rajgarh Colony, Gandhi Nagar New Delhi - 110031, Delhi, India",(011)-22467120,https://targetstudy.com/school/2294/ch-malook-singh-government-sarvodaya-bal-vidya/
chandra-arya-vidya-mandir-girls-sr-sec-school,"Block-C, Desh Raj Complex, East of Kailash New Delhi - 110065, Delhi, India","(011)-26912072, 22284586",https://targetstudy.com/school/51405/chandra-arya-vidya-mandir-girls-sr-sec-school/
chinmaya-vidyalaya,"Vasant Vihar New Delhi - 110057, Delhi, India","(011)-26147020, 26142958, 26142756",https://targetstudy.com/school/41085/chinmaya-vidyalaya/
chowgule-public-school,"D-4, Faiz Road, Karol Bagh New Delhi - 110005, Delhi, India","(011)-23549764, 23522370",https://targetstudy.com/school/36790/chowgule-public-school/
cl-bhalla-dayanand-model-school,"Plot No. 7, Jhandewalan Karol Bagh New Delhi - 110055, Delhi, India","(011)-23527644, 23633812, 24546022",https://targetstudy.com/school/36118/cl-bhalla-dayanand-model-school/
cms-girls-sen-sec-school,"C-Block 1, Yamuna Vihar Delhi - 110053, Delhi, India",(011)-22172585,https://targetstudy.com/school/36808/cms-girls-sen-sec-school/
colonel-child-bloom-school,"Naveen Palace Colony, CRPF-Jharoda Road, Najafgarh Delhi - 110072, Delhi, India",_i,https://targetstudy.com/school/61525/colonel-child-bloom-school/
colonel-satsangis-kiran-memorial-public-school-cskm,"Ansal Villas, Satbari, Chattarpur New Delhi - 110074, Delhi, India","(011)-26652132, 26653344, 26652133, 2665328",https://targetstudy.com/school/25039/colonel-satsangis-kiran-memorial-public-school-cskm/
columbia-city-school,"B-14, Indra Park, Uttam Nagar New Delhi - 110059, Delhi, India","(011)-28566003, 45123520",https://targetstudy.com/school/36687/columbia-city-school/
columbia-foundation-school,"D-Block, Vikaspuri New Delhi - 110018, Delhi, India","(011)-45660811, 45660815",https://targetstudy.com/school/36685/columbia-foundation-school/
columbia-junior-school,"F-83, F-Block, Vikas Puri New Delhi - 110018, Delhi, India",(011)-45660818,https://targetstudy.com/school/29168/columbia-junior-school/
commercial-senior-secondary-school,"#24, Daryaganj, Indraprastha New Delhi - 110002, Delhi, India",(011)-23271235,https://targetstudy.com/school/2357/commercial-senior-secondary-school/
convent-of-gagan-bharati,"K-4/44, Mohan Garden New Delhi - 110059, Delhi, India","(011)-25351188, 25351199",https://targetstudy.com/school/51790/convent-of-gagan-bharati/
convent-of-jesus-and-mary-school,"1 Bangla Sahib Marg, Connaught Place New Delhi - 110001, Delhi, India","(011)-23366762, 23747061",https://targetstudy.com/school/29841/convent-of-jesus-and-mary-school/
cosmos-sr-sec-school,"Vasundhara Enclave, Dallupur New Delhi - 110098, Delhi, India","(011)-22616066, 22618137",https://targetstudy.com/school/29181/cosmos-sr-sec-school/
crescent-public-school,"Saraswati Vihar, Pitam Pura New Delhi - 110034, Delhi, India","(011)-27016688, 27017788",https://targetstudy.com/school/45471/crescent-public-school/
crescent-schooi,"Zeenatul Masjid, Daryaganj New Delhi - 110002, Delhi, India",(011)-23279041,https://targetstudy.com/school/2358/crescent-schooi/
crpf-public-school,"Sector 16-B, Dwarka New Delhi - 110075, Delhi, India","(011)-28032245, 28033727",https://targetstudy.com/school/36570/crpf-public-school/
crpf-public-school,"Sector 14, Prashant Vihar, Rohini New Delhi - 110085, Delhi, India","(011)-27567642, 27562305",https://targetstudy.com/school/2019/crpf-public-school/
cskm-public-school,"Satbari, Chattarpur New Delhi - 110074, Delhi, India","(011)-26653344, 26652132",https://targetstudy.com/school/78090/cskm-public-school/
daffodil-public-school,"Prem Colony, Bawana Road, Narela Delhi - 110040, Delhi, India",_i,https://targetstudy.com/school/36053/daffodil-public-school/
daisy-dales-sr-sec-school,"E-331 A, East of Kailash New Delhi - 110065, Delhi, India","(011)-41041041, 41041042, 41041043",https://targetstudy.com/school/2038/daisy-dales-sr-sec-school/
darbari-lal-dav-model-school,"ND Block, Pitampura Delhi - 110088, Delhi, India","(011)-27323350, 47568800",https://targetstudy.com/school/31316/darbari-lal-dav-model-school/
darbari-lal-dav-model-school,"BN Block, Shalimar Bagh Delhi - 110088, Delhi, India","(011)-27477634, 27473634",https://targetstudy.com/school/36647/darbari-lal-dav-model-school/
darshan-academy,"Kirpal Bagh, Bhama Shah Road, Sant Kirpal Singh Marg Delhi - 110009, Delhi, India","(011)-27465800, 27465900",https://targetstudy.com/school/2311/darshan-academy/
dashmesh-public-senior-secondary-school,"Vasundhra Enclave, Near Dharamshila Hospital Delhi - 110096, Delhi, India","(011)-45873902, 20822004, 20822005, 20822006",https://targetstudy.com/school/29148/dashmesh-public-senior-secondary-school/
dashmesh-public-school,"C-Block, Vivek Vihar New Delhi - 110095, Delhi, India","(011)-22146306, 22165402, 47148254",https://targetstudy.com/school/83551/dashmesh-public-school/
dav-centenary-public-school,"Sector B-4, Pkt-5, DDA Project, Narela New Delhi - 110040, Delhi, India",(011)-27784139,https://targetstudy.com/school/78219/dav-centenary-public-school/
dav-model-school,"Yusuf Sarai, Hauz Khas New Delhi - 110016, Delhi, India","(011)-26854631, 265282826",https://targetstudy.com/school/2345/dav-model-school/
dav-public-convent-school,"Near Arya Samaj Mandir, Shakur Basti, Rani Bagh, G.T.B. Nagar New Delhi - 110009, Delhi, India",(011)-27018320,https://targetstudy.com/school/2312/dav-public-convent-school/
dav-public-school,"Sector 7, Rohini New Delhi - 110085, Delhi, India","(011)-27043298, 47587777",https://targetstudy.com/school/91558/dav-public-school/
dav-public-school,"Near 'C' Block Market, East of Kailash Delhi - 110065, Delhi, India",(011)-26842283,https://targetstudy.com/school/2302/dav-public-school/
dav-public-school,"Pushpanjali Enclave, Pitampura New Delhi - 110034, Delhi, India","(011)-27018261, 27010377",https://targetstudy.com/school/37672/dav-public-school/
dav-public-school,"Sreshtha Vihar Delhi - 110092, Delhi, India","(011)-22144102, 22153874",https://targetstudy.com/school/29184/dav-public-school/
dav-public-school,"Sector B, Pocket- 1, Vasant Kunj New Delhi - 110070, Delhi, India",(011)-46660400,https://targetstudy.com/school/74640/dav-public-school/
david-model-senior-secondary-school,"Main Road, Tukmirpur Delhi - 110094, Delhi, India",(011)-22969090,https://targetstudy.com/school/74440/david-model-senior-secondary-school/
dayanand-public-school,"Model Town III New Delhi - 110009, Delhi, India",(011)-27426585,https://targetstudy.com/school/2314/dayanand-public-school/
dc-convent-secondary-school,"RZ-115, Shiv Enclave, Najafgarh New Delhi - 110043, Delhi, India",(011)-28011690,https://targetstudy.com/school/58204/dc-convent-secondary-school/
dcm-boys-senior-secondary-school,"Kishan Ganj New Delhi - 110006, Delhi, India",(011)-23615513,https://targetstudy.com/school/71781/dcm-boys-senior-secondary-school/
dcm-girls-senior-secondary-school,"Near Tibbiya College, Kishan Ganj New Delhi - 110007, Delhi, India","(011)-23619919, 25525421",https://targetstudy.com/school/71616/dcm-girls-senior-secondary-school/
decent-public-school,"H-34, Sector 3, Rohini, Near Ayodhya Chowk New Delhi - 110085, Delhi, India","(011)-41611089, 45526335",https://targetstudy.com/school/60732/decent-public-school/
deen-bandhu-public-school,"Ghevra Delhi, Ghevra New Delhi - 110081, Delhi, India","(011)-25951290, 25953610",https://targetstudy.com/school/46211/deen-bandhu-public-school/
deep-public-school,"Sector D, Pocket II, Vasant Kunj New Delhi - 110070, Delhi, India",(011)-26987382,https://targetstudy.com/school/78615/deep-public-school/
deepalaya-school,"A-14, Kalkaji Extension New Delhi - 110019, Delhi, India","(011)-40561452, 40561453",https://targetstudy.com/school/31336/deepalaya-school/
deepalaya-school,"F-33, Gole Kuan, Tehkhand, Okhla Phase I New Delhi - 110020, Delhi, India",(011)-26810295,https://targetstudy.com/school/61510/deepalaya-school/
deepalaya-school,"S-69-A, Sanjay Colony, Okhla Phase-II New Delhi - 110020, Delhi, India","(011)-26384347, 26389141",https://targetstudy.com/school/31337/deepalaya-school/
deepanshu-public-school,"Kamerdin Nagar, Nangloi New Delhi - 110041, Delhi, India","(011)-25941630, 25943230",https://targetstudy.com/school/75275/deepanshu-public-school/
delhi-international-public-school,"Sector 9, Rohini New Delhi - 110085, Delhi, India","(011)-27865040, 27864050",https://targetstudy.com/school/75851/delhi-international-public-school/
delhi-international-school,"Sector 23, Dwarka New Delhi - 110077, Delhi, India","(011)-28052000, 8052300",https://targetstudy.com/school/2106/delhi-international-school/
delhi-jain-public-school,"12, Railway Road, Palam Village New Delhi - 110045, Delhi, India","(011)-25367262, 25367264 , 25367265",https://targetstudy.com/school/31344/delhi-jain-public-school/
delhi-kannada-senior-secondary-school,"Lodhi Estate New Delhi - 110003, Delhi, India","(011)-24611360, 24633391",https://targetstudy.com/school/29199/delhi-kannada-senior-secondary-school/
delhi-police-public-school,"B-4, Safdarjung Enclave New Delhi - 110029, Delhi, India",(011)-26177094,https://targetstudy.com/school/29200/delhi-police-public-school/
delhi-public-school-east-of-kailash,"F-Block, East of Kailash New Delhi - 110065, Delhi, India",(011)-49117777,https://targetstudy.com/school/84009/delhi-public-school-east-of-kailash/
delhi-public-school,"Mathura Road New Delhi - 110003, Delhi, India",(011)-43399200,https://targetstudy.com/school/41046/delhi-public-school/
delhi-public-school,"Sector XII, R.K. Puram Delhi - 110022, Delhi, India","(011)-49115500, 226171267",https://targetstudy.com/school/1690/delhi-public-school/
delhi-tamil-education-association-senior-secondary-school,"B1 Janak Puri, Near District Center New Delhi - 110058, Delhi, India","(011)-25506487, 25557838",https://targetstudy.com/school/74451/delhi-tamil-education-association-senior-secondary-school/
delhi-tamil-education-association-senior-secondary-school-laxmi-bai-nagar,"Near Community Center, Opp. I.N.A Market New Delhi - 110023, Delhi, India","(011)-24103616, 26881175",https://targetstudy.com/school/91569/delhi-tamil-education-association-senior-secondary-school-laxmi-bai-nagar/
delhi-tamil-education-association-senior-secondary-school-mandir-marg,"Near Birla Mandir New Delhi - 110001, Delhi, India","(011)-23363114, 23363413",https://targetstudy.com/school/91568/delhi-tamil-education-association-senior-secondary-school-mandir-marg/
delhi-tamil-education-association-senior-secondary-school,"Near Nanakpura New Delhi - 110021, Delhi, India","(011)-24673726, 26876463",https://targetstudy.com/school/74452/delhi-tamil-education-association-senior-secondary-school/
delhi-tamil-education-association-senior-secondary-school,"Sadhu Vasvani Marg, Old Rajinder Nagar New Delhi - 110005, Delhi, India","(011)-25743989, 25818581",https://targetstudy.com/school/74453/delhi-tamil-education-association-senior-secondary-school/
delhi-tamil-education-association-senior-secondary-school,"Sector IV, Near Ramjas School, R.K. Puram New Delhi - 110022, Delhi, India","(011)-23363114, 23363413",https://targetstudy.com/school/74454/delhi-tamil-education-association-senior-secondary-school/
delhi-united-christian-senior-secondary-school,"No. 17, Raj Niwas Marg, Civil Lines New Delhi - 110054, Delhi, India",(011)-23967401,https://targetstudy.com/school/71898/delhi-united-christian-senior-secondary-school/
